,index,x,y,cbga
0,1,335252.0,4262999.0,-203.753
1,2,335002.0,4262998.0,-204.515
2,3,335003.0,4262749.0,-204.162
3,4,335003.0,4262499.0,-203.562
4,5,335253.0,4262499.0,-204.063
5,6,335251.0,4262749.0,-203.982
6,7,335252.0,4263250.0,-204.074
7,8,335001.0,4263250.0,-204.821
8,9,334751.0,4263000.0,-205.74900000000002
9,10,334751.0,4263250.0,-204.30700000000002
10,11,334500.0,4262999.0,-206.235
11,12,334250.0,4262999.0,-206.623
12,13,334501.0,4263500.0,-205.886
13,14,334501.0,4263249.0,-206.02700000000002
14,15,334251.0,4263250.0,-206.55700000000002
15,16,334251.0,4263499.0,-206.442
16,17,334250.0,4263749.0,-206.283
17,18,334250.0,4263999.0,-205.98
18,19,334500.0,4263998.0,-205.532
19,20,334752.0,4263999.0,-204.17700000000002
20,21,334501.0,4263749.0,-205.405
21,22,337501.0,4261998.0,-197.114
22,23,338001.0,4262000.0,-196.149
23,24,337000.0,4261999.0,-198.291
24,25,336500.0,4261999.0,-196.65099999999998
25,26,336001.0,4261999.0,-201.578
26,27,337501.0,4261499.0,-197.155
27,28,337001.0,4261499.0,-198.56799999999998
28,29,336501.0,4261499.0,-200.28599999999997
29,30,336001.0,4261499.0,-202.05599999999998
30,31,335501.0,4261498.0,-203.50099999999998
31,32,335001.0,4261499.0,-204.91400000000002
32,33,334501.0,4261499.0,-205.003
33,34,334001.0,4261500.0,-207.511
34,35,333502.0,4261499.0,-208.93
35,36,333003.0,4261500.0,-210.01
36,37,336760.0,4264196.0,-196.1
37,38,330061.0,4265083.0,-210.722
38,39,334269.0,4258076.0,-209.447
39,40,336842.0,4260925.0,-199.40400000000002
40,41,335501.0,4263998.0,-202.13
41,42,333002.0,4263499.0,-209.135
42,43,333502.0,4263498.0,-207.935
43,44,334002.0,4263498.0,-207.107
44,45,334002.0,4263998.0,-206.475
45,46,333502.0,4263998.0,-208.09900000000002
46,47,333003.0,4263998.0,-209.203
47,48,333002.0,4264499.0,-208.862
48,49,333502.0,4264499.0,-207.715
49,50,334001.0,4264499.0,-207.253
50,51,334501.0,4264500.0,-205.233
51,52,335001.0,4264499.0,-204.445
52,53,335500.0,4264499.0,-202.041
53,54,336001.0,4264498.0,-199.329
54,55,336500.0,4264499.0,-197.35299999999998
55,56,337002.0,4264499.0,-195.618
56,57,337503.0,4264500.0,-193.143
57,58,338002.0,4264499.0,-193.179
58,59,338502.0,4264498.0,-193.081
59,60,339002.0,4264497.0,-193.13099999999997
60,61,339499.0,4264500.0,-194.09599999999998
61,62,337501.0,4259999.0,-199.64700000000002
62,63,339501.0,4259000.0,-203.62
63,64,338501.0,4258998.0,-200.192
64,65,337500.0,4259000.0,-200.49099999999999
65,66,336502.0,4259000.0,-201.72799999999998
66,67,335501.0,4259000.0,-205.296
67,68,334502.0,4258999.0,-208.799
68,69,333501.0,4258999.0,-211.425
69,70,332501.0,4258999.0,-214.012
70,71,331501.0,4258999.0,-215.707
71,72,330501.0,4258999.0,-216.929
72,75,330499.0,4264002.0,-212.80599999999998
73,76,331501.0,4263999.0,-212.45
74,77,332501.0,4264000.0,-210.082
75,78,335612.0,4255587.0,-203.893
76,79,335614.0,4255587.0,-205.542
77,80,335512.0,4255587.0,-207.324
78,81,335314.0,4255586.0,-207.546
79,82,335116.0,4255605.0,-207.567
80,83,334910.0,4255620.0,-205.563
81,84,334706.0,4255610.0,-208.47
82,85,334505.0,4255596.0,-208.74
83,86,334309.0,4255583.0,-208.873
84,87,334108.0,4255556.0,-209.15900000000002
85,88,333903.0,4255540.0,-209.421
86,89,333702.0,4255554.0,-209.449
87,90,333507.0,4255559.0,-209.68900000000002
88,91,333307.0,4255556.0,-209.93099999999998
89,92,333050.0,4255539.0,-209.43400000000003
90,93,332801.0,4255544.0,-209.28900000000002
91,94,332295.0,4255532.0,-210.28
92,95,331810.0,4255522.0,-212.274
93,96,331307.0,4255516.0,-213.153
94,97,330811.0,4255514.0,-213.528
95,98,330303.0,4255505.0,-214.92700000000002
96,99,333905.0,4257995.0,-210.793
97,100,334102.0,4257997.0,-210.07
98,101,334304.0,4257997.0,-209.26
99,102,334500.0,4258000.0,-208.602
100,103,334697.0,4257998.0,-208.09099999999998
101,104,334899.0,4257997.0,-206.983
102,105,335104.0,4257997.0,-206.74
103,106,335303.0,4258002.0,-203.987
104,107,335503.0,4257994.0,-205.415
105,108,331503.0,4258000.0,-215.86599999999999
106,109,332502.0,4257997.0,-214.50799999999998
107,110,333004.0,4258002.0,-212.229
108,111,333505.0,4258001.0,-211.65599999999998
109,112,335700.0,4257999.0,-205.455
110,113,336107.0,4257997.0,-204.213
111,114,336504.0,4257996.0,-203.395
112,115,337503.0,4257991.0,-200.282
113,116,336525.0,4260461.0,-200.017
114,117,336737.0,4260451.0,-199.25400000000002
115,118,336936.0,4260437.0,-198.021
116,119,337133.0,4260427.0,-197.592
117,120,337332.0,4260410.0,-198.363
118,121,337533.0,4260396.0,-198.49099999999999
119,122,337734.0,4260388.0,-196.577
120,123,337931.0,4260377.0,-198.99
121,124,339499.0,4261489.0,-200.41099999999997
122,125,338998.0,4261501.0,-197.88299999999998
123,126,338503.0,4261493.0,-199.024
124,127,337708.0,4260554.0,-198.243
125,128,332501.0,4265999.0,-209.30200000000002
126,129,333501.0,4265999.0,-207.06900000000002
127,130,334501.0,4265999.0,-204.525
128,131,335501.0,4265999.0,-200.84799999999998
129,132,336502.0,4265999.0,-195.768
130,133,337503.0,4265999.0,-192.05200000000002
131,134,338502.0,4266000.0,-190.785
132,135,339502.0,4265998.0,-191.301
133,137,330500.0,4266999.0,-209.30700000000002
134,138,332500.0,4267000.0,-208.935
135,139,333501.0,4267000.0,-206.493
136,140,334500.0,4266999.0,-203.523
137,141,335502.0,4267000.0,-199.42
138,142,336502.0,4267000.0,-194.68200000000002
139,143,337503.0,4266999.0,-190.783
140,144,338501.0,4266999.0,-188.581
141,145,339502.0,4267000.0,-187.666
142,146,342542.0,4267010.0,-194.774
143,147,341629.0,4267491.0,-190.187
144,148,340017.0,4263945.0,-198.685
145,149,339500.0,4264000.0,-197.396
146,150,338999.0,4263998.0,-193.118
147,151,338501.0,4263999.0,-193.41
148,152,338501.0,4263499.0,-194.68
149,154,330502.0,4259999.0,-214.83
150,155,331502.0,4260000.0,-214.954
151,156,332502.0,4259999.0,-212.68200000000002
152,157,333502.0,4260000.0,-210.791
153,158,335502.0,4262999.0,-202.87400000000002
154,159,335752.0,4262750.0,-202.27200000000002
155,160,336003.0,4262499.0,-201.583
156,161,336004.0,4262748.0,-201.324
157,162,335502.0,4262749.0,-202.933
158,163,335502.0,4262500.0,-203.456
159,164,335752.0,4262500.0,-201.74200000000002
160,165,336001.0,4263001.0,-201.176
161,166,336001.0,4263250.0,-200.798
162,167,336000.0,4263500.0,-200.317
163,168,335751.0,4263499.0,-201.517
164,169,335750.0,4263250.0,-201.56599999999997
